"link","word","l1","l2","l3","l4","l5"
"https://kbbi.kemdikbud.go.id/entri/abadi","abadi","a","b","a","d","i"
"https://kbbi.kemdikbud.go.id/entri/abaka","abaka","a","b","a","k","a"
"https://kbbi.kemdikbud.go.id/entri/abang","abang","a","b","a","n","g"
"https://kbbi.kemdikbud.go.id/entri/abate","abate","a","b","a","t","e"
"https://kbbi.kemdikbud.go.id/entri/abawi","abawi","a","b","a","w","i"
"https://kbbi.kemdikbud.go.id/entri/abaya","abaya","a","b","a","y","a"
"https://kbbi.kemdikbud.go.id/entri/abbas","abbas","a","b","b","a","s"
"https://kbbi.kemdikbud.go.id/entri/abdas","abdas","a","b","d","a","s"
"https://kbbi.kemdikbud.go.id/entri/abdis","abdis","a","b","d","i","s"
"https://kbbi.kemdikbud.go.id/entri/abdul","abdul","a","b","d","u","l"
"https://kbbi.kemdikbud.go.id/entri/abece","abece","a","b","e","c","e"
"https://kbbi.kemdikbud.go.id/entri/abian","abian","a","b","i","a","n"
"https://kbbi.kemdikbud.go.id/entri/abing","abing","a","b","i","n","g"
"https://kbbi.kemdikbud.go.id/entri/abjad","abjad","a","b","j","a","d"
"https://kbbi.kemdikbud.go.id/entri/ablur","ablur","a","b","l","u","r"
"https://kbbi.kemdikbud.go.id/entri/abnon","abnon","a","b","n","o","n"
"https://kbbi.kemdikbud.go.id/entri/abnus","abnus","a","b","n","u","s"
"https://kbbi.kemdikbud.go.id/entri/abone","abone","a","b","o","n","e"
"https://kbbi.kemdikbud.go.id/entri/aboya","aboya","a","b","o","y","a"
"https://kbbi.kemdikbud.go.id/entri/abpar","abpar","a","b","p","a","r"
"https://kbbi.kemdikbud.go.id/entri/abrab","abrab","a","b","r","a","b"
"https://kbbi.kemdikbud.go.id/entri/abrak","abrak","a","b","r","a","k"
"https://kbbi.kemdikbud.go.id/entri/abrap","abrap","a","b","r","a","p"
"https://kbbi.kemdikbud.go.id/entri/abrar","abrar","a","b","r","a","r"
"https://kbbi.kemdikbud.go.id/entri/abras","abras","a","b","r","a","s"
"https://kbbi.kemdikbud.go.id/entri/abrek","abrek","a","b","r","e","k"
"https://kbbi.kemdikbud.go.id/entri/abrin","abrin","a","b","r","i","n"
"https://kbbi.kemdikbud.go.id/entri/abrip","abrip","a","b","r","i","p"
"https://kbbi.kemdikbud.go.id/entri/abrop","abrop","a","b","r","o","p"
"https://kbbi.kemdikbud.go.id/entri/absah","absah","a","b","s","a","h"
"https://kbbi.kemdikbud.go.id/entri/absen","absen","a","b","s","e","n"
"https://kbbi.kemdikbud.go.id/entri/abses","abses","a","b","s","e","s"
"https://kbbi.kemdikbud.go.id/entri/absis","absis","a","b","s","i","s"
"https://kbbi.kemdikbud.go.id/entri/abtar","abtar","a","b","t","a","r"
"https://kbbi.kemdikbud.go.id/entri/abuan","abuan","a","b","u","a","n"
"https://kbbi.kemdikbud.go.id/entri/abung","abung","a","b","u","n","g"
"https://kbbi.kemdikbud.go.id/entri/abuya","abuya","a","b","u","y","a"
"https://kbbi.kemdikbud.go.id/entri/abuza","abuza","a","b","u","z","a"
"https://kbbi.kemdikbud.go.id/entri/abyad","abyad","a","b","y","a","d"
"https://kbbi.kemdikbud.go.id/entri/acala","acala","a","c","a","l","a"
"https://kbbi.kemdikbud.go.id/entri/acang","acang","a","c","a","n","g"
"https://kbbi.kemdikbud.go.id/entri/acara","acara","a","c","a","r","a"
"https://kbbi.kemdikbud.go.id/entri/acawi","acawi","a","c","a","w","i"
"https://kbbi.kemdikbud.go.id/entri/acian","acian","a","c","i","a","n"
"https://kbbi.kemdikbud.go.id/entri/acoan","acoan","a","c","o","a","n"
"https://kbbi.kemdikbud.go.id/entri/acuan","acuan","a","c","u","a","n"
"https://kbbi.kemdikbud.go.id/entri/acuci","acuci","a","c","u","c","i"
"https://kbbi.kemdikbud.go.id/entri/acung","acung","a","c","u","n","g"
"https://kbbi.kemdikbud.go.id/entri/adaci","adaci","a","d","a","c","i"
"https://kbbi.kemdikbud.go.id/entri/adaks","adaks","a","d","a","k","s"
"https://kbbi.kemdikbud.go.id/entri/adamu","adamu","a","d","a","m","u"
"https://kbbi.kemdikbud.go.id/entri/adang","adang","a","d","a","n","g"
"https://kbbi.kemdikbud.go.id/entri/adati","adati","a","d","a","t","i"
"https://kbbi.kemdikbud.go.id/entri/adelo","adelo","a","d","e","l","o"
"https://kbbi.kemdikbud.go.id/entri/adena","adena","a","d","e","n","a"
"https://kbbi.kemdikbud.go.id/entri/adesi","adesi","a","d","e","s","i"
"https://kbbi.kemdikbud.go.id/entri/adhan","adhan","a","d","h","a","n"
"https://kbbi.kemdikbud.go.id/entri/adidi","adidi","a","d","i","d","i"
"https://kbbi.kemdikbud.go.id/entri/adika","adika","a","d","i","k","a"
"https://kbbi.kemdikbud.go.id/entri/ading","ading","a","d","i","n","g"
"https://kbbi.kemdikbud.go.id/entri/adion","adion","a","d","i","o","n"
